City,Country,Latitude,longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
Staryy Nadym,RU,65.61,72.68,26.2,95,85,14.09,1603019862
Djambala,CG,-2.54,14.75,75.33,83,99,3.4,1603019862
Fairbanks,US,64.84,-147.72,21.0,48,84,2.13,1603019863
Sioux Lookout,CA,50.1,-91.92,26.6,92,90,6.93,1603019863
Liku,ID,-0.73,119.89,77.23,82,100,2.51,1603019863
Bariloche,AR,-41.15,-71.31,41.0,75,40,21.92,1603019863
Mīzan Teferī,ET,6.98,35.58,72.68,70,96,2.39,1603019863
Cockburn Town,TC,21.46,-71.14,81.86,80,60,18.68,1603019863
Coyhaique,CL,-45.58,-72.07,42.8,70,75,9.17,1603019863
Sarangani,PH,5.4,125.46,83.7,73,100,7.02,1603019864
Puerto Madero,MX,14.72,-92.42,77.02,82,80,5.37,1603019864
Abnūb,EG,27.27,31.15,82.4,48,0,11.41,1603019864
Beringovskiy,RU,63.05,179.32,35.83,81,100,5.5,1603019864
Mount Gambier,AU,-37.83,140.77,51.8,87,90,4.7,1603019864
Lovozero,RU,68.0,35.01,32.04,92,1,12.71,1603019864
Letlhakane,BW,-21.42,25.58,95.14,11,0,9.75,1603019864
Kulu,TR,39.1,33.08,72.73,33,99,15.84,1603019865
Ocós,GT,14.51,-92.19,64.0,96,52,1.99,1603019865
Omboué,GA,-1.57,9.26,82.09,75,85,9.55,1603019865
Palencia,ES,42.42,-4.5,62.01,37,100,1.99,1603019865
Puri,IN,19.8,85.85,78.8,100,90,4.7,1603019865
Eureka,US,40.8,-124.16,48.2,100,1,5.26,1603019866
Tosagua,EC,-0.78,-80.25,73.81,79,99,2.68,1603019866
Pimenta Bueno,BR,-11.67,-61.19,76.89,80,89,1.12,1603019866
Korablino,RU,53.92,40.01,51.01,62,96,20.62,1603019866
Hope Mills,US,34.97,-78.95,46.99,87,1,6.93,1603019866
Abalak,RU,58.13,68.59,34.84,84,50,10.09,1603019866
Alta Floresta,BR,-9.88,-56.09,83.23,52,72,2.51,1603019867
Raja,SS,8.46,25.68,88.47,56,82,2.73,1603019867
Middletown,US,39.52,-84.4,51.8,50,90,9.17,1603019867
Sobolevo,RU,54.43,31.9,36.77,82,100,13.24,1603019867
Dvinskoy Bereznik,RU,62.86,42.71,34.7,88,100,8.03,1603019867
Oriximiná,BR,-1.77,-55.87,80.37,66,29,4.34,1603019867
Auki,SB,-8.77,160.7,79.27,81,93,4.23,1603019867
Egvekinot,RU,66.32,-179.17,24.93,89,88,8.16,1603019868
Lahaina,US,20.88,-156.68,78.8,79,75,9.17,1603019868
Sabang,ID,5.89,95.32,84.0,73,100,21.09,1603019868
Sur,OM,22.57,59.53,85.84,33,0,22.26,1603019600
Umba,RU,66.69,34.34,34.43,89,100,19.48,1603019868
Ust-Tsilma,RU,65.44,52.15,34.07,93,95,3.22,1603019868
Lorengau,PG,-2.02,147.27,82.27,79,73,8.5,1603019868
Poronaysk,RU,49.22,143.12,42.15,64,41,12.95,1603019869
Vaitape,PF,-16.52,-151.75,79.68,79,5,7.43,1603019869
Dolisie,CG,-4.2,12.67,85.8,61,91,4.99,1603019869
La Tuque,CA,47.43,-72.78,34.0,92,3,6.31,1603019869
Chibombo,ZM,-14.66,28.07,89.98,12,14,9.44,1603019869
Maciel,AR,-32.46,-60.89,75.0,88,0,4.7,1603019869
Esperance,AU,-33.87,121.9,62.6,72,93,9.17,1603019870
Iquique,CL,-20.22,-70.14,62.6,67,90,5.82,1603019870
Jiangyou,CN,31.77,104.72,60.3,74,87,4.09,1603019870
Shilka,RU,51.85,116.03,37.09,80,34,5.44,1603019870
Samarai,PG,-10.62,150.67,79.77,87,99,11.03,1603019870
Kalemie,CD,-5.95,29.19,83.62,45,26,8.59,1603019870
Bathsheba,BB,13.22,-59.52,77.0,88,20,4.7,1603019871
Aksay,RU,47.26,39.87,73.4,56,40,20.13,1603019871
Tupaciguara,BR,-18.59,-48.7,71.62,76,52,13.85,1603019871
Mandan,US,46.83,-100.89,26.6,85,90,13.87,1603019871
Yurginskoye,RU,56.82,67.39,37.8,76,53,10.18,1603019871
Kidal,ML,18.44,1.41,100.09,9,31,13.87,1603019871
Nome,US,64.5,-165.41,35.6,93,90,3.36,1603019871
Forsytheganj,BY,52.63,29.73,41.61,80,100,15.77,1603019872
Westport,US,41.14,-73.36,42.8,81,1,6.93,1603019872
Marsh Harbour,BS,26.54,-77.06,81.9,78,100,16.62,1603019872
Airai,TL,-8.93,125.41,63.68,96,80,0.69,1603019872
Luganville,VU,-15.53,167.17,76.89,79,13,10.33,1603019872
Villazón,BO,-22.09,-65.59,49.14,65,0,3.44,1603019872
Portland,US,45.52,-122.68,55.99,83,99,1.99,1603019872
Niksar,TR,40.59,36.95,85.23,15,30,1.88,1603019873
Nhamundá,BR,-2.19,-56.71,80.51,72,49,1.88,1603019873
Brazzaville,CG,-4.27,15.28,84.2,70,40,9.17,1603019871
Constitución,CL,-35.33,-72.42,51.42,83,0,5.93,1603019873
Visby,SE,57.64,18.3,50.0,63,40,20.8,1603019873
Along,IN,28.17,94.77,77.09,78,2,1.34,1603019873
Bulalacao,PH,12.33,121.34,81.95,76,67,8.9,1603019873
Clyde River,CA,70.47,-68.59,28.4,79,1,3.36,1603019874
Sahuaripa,MX,29.05,-109.23,71.35,63,76,2.19,1603019874
Sisimiut,GL,66.94,-53.67,39.81,71,100,13.89,1603019874
Bloomingdale,US,27.89,-82.24,73.0,94,90,3.36,1603019654
Tilichiki,RU,60.47,166.1,33.04,90,100,4.94,1603019874
Methóni,GR,36.82,21.7,75.2,36,48,10.29,1603019874
Marawi,PH,8.0,124.29,80.01,88,100,3.0,1603019874
Ucluelet,CA,48.93,-125.55,51.01,91,100,12.17,1603019875
Mezen',RU,65.85,44.24,35.33,94,98,8.43,1603019875
Putineiu,RO,43.9,25.73,66.0,57,0,14.83,1603019875
Ejido Ixcatepec,MX,21.2,-97.95,65.44,95,44,1.95,1603019875
Katsuura,JP,35.13,140.3,62.6,67,20,9.17,1603019875
Kloulklubed,PW,7.04,134.26,80.6,83,90,5.82,1603019875
Prince Rupert,CA,54.32,-130.32,42.8,87,90,4.7,1603019875
Bac Lieu,VN,9.29,105.72,78.73,86,100,6.67,1603019876
Manzhouli,CN,49.6,117.43,39.24,71,78,7.18,1603019876
Fukuechō,JP,32.69,128.84,64.4,77,75,9.17,1603019876
Merauke,ID,-8.47,140.33,80.24,77,95,14.34,1603019876
Cidreira,BR,-30.18,-50.21,67.33,75,87,13.38,1603019876
Den Helder,NL,52.96,4.76,55.0,71,90,5.82,1603019876
Kifrī,IQ,34.7,44.97,93.07,11,0,12.86,1603019877
Shahdad Kot,PK,27.85,67.91,101.34,7,0,5.23,1603019877
Pangoa,PE,-12.12,-73.0,64.94,96,41,2.62,1603019877
Key Largo,US,25.09,-80.45,81.0,70,64,13.0,1603019877
Banepā,NP,27.63,85.52,77.0,61,20,9.17,1603019877
Port Hedland,AU,-20.32,118.57,75.2,69,0,16.11,1603019877
Turukhansk,RU,65.82,87.98,34.79,99,100,4.59,1603019877
Talnakh,RU,69.49,88.4,24.8,79,75,17.9,1603019878
Erzin,TR,36.96,36.2,80.01,74,0,8.01,1603019878
Nehe,CN,48.48,124.83,37.87,72,20,10.29,1603019878
Puksoozero,RU,62.59,40.61,34.27,88,100,6.69,1603019878
Taoudenni,ML,22.68,-3.98,92.66,14,0,4.14,1603019878
Saint Anthony,US,45.02,-93.22,33.01,74,1,6.93,1603019878
Lata,PT,40.16,-8.33,73.0,49,83,4.65,1603019878
Iquitos,PE,-3.75,-73.25,72.41,95,97,1.16,1603019879
Gorom-Gorom,BF,14.44,-0.24,97.68,27,20,9.01,1603019879
Yantzaza,EC,-3.83,-78.76,62.76,84,90,1.14,1603019879
Wanning,CN,18.8,110.4,78.26,87,100,19.82,1603019879
Ulladulla,AU,-35.35,150.47,57.2,100,90,5.82,1603019879
Waitati,NZ,-45.75,170.57,48.99,87,100,14.0,1603019880
Kaminokawa,JP,36.43,139.92,64.99,87,40,2.24,1603019671
Natitingou,BJ,10.3,1.38,82.4,65,20,5.82,1603019880
Wanlaweyn,SO,2.62,44.89,90.59,43,60,14.61,1603019880
Mongo,TD,12.18,18.69,98.82,12,35,7.78,1603019880
Andros Town,BS,24.7,-77.77,75.2,88,90,9.17,1603019880
